nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem;codigo_emprestimo_num
OTICA NEW LOOK;15 meses;D1;35,28% a.a.;R$22.000;1;loan_127074;100.0%;127074
SP RACING;12 meses;B6;21,70% a.a.;R$160.000;1;loan_128452;100.0%;128452
ARTE&OBRA;24 meses;D3;41,91% a.a.;R$44.000;1;loan_124994;100.0%;124994
TUDOMODA;24 meses;D1;35,28% a.a.;R$44.000;1;loan_126069;100.0%;126069
ROMP SOLUCOES INDUSTRIAIS;24 meses;B3;18,72% a.a.;R$110.000;1;loan_128499;100.0%;128499
Lady Morrigan Tattoo;24 meses;E2;61,59% a.a.;R$44.000;1;loan_128471;100.0%;128471
ZURICH;10 meses;D2;37,99% a.a.;R$106.000;1;loan_128233;100.0%;128233
SAFEWORKSST SOLUCOES;24 meses;C3;28,32% a.a.;R$72.000;1;loan_127851;100.0%;127851
NOVA AUTO PECAS;24 meses;D3;41,91% a.a.;R$66.000;1;loan_127586;100.0%;127586
TECNEFRO CARE;24 meses;D3;41,91% a.a.;R$88.000;1;loan_127529;100.0%;127529
KSEG;24 meses;C1;25,64% a.a.;R$132.000;2;loan_127391;100.0%;127391
SEJORI SERVICOS DE VIGIA;24 meses;E2;61,59% a.a.;R$16.000;2;loan_127280;100.0%;127280
ATCR;12 meses;B6;21,70% a.a.;R$54.000;2;loan_127018;100.0%;127018
STAGE MUSIC CLUB;24 meses;C2;26,82% a.a.;R$66.000;2;loan_116732;100.0%;116732
BIG DATA CORP;24 meses;B1;16,90% a.a.;R$270.000;2;loan_115326;100.0%;115326
JOVEM'S CAR;24 meses;E2;61,59% a.a.;R$56.000;2;loan_128020;100.0%;128020
Inspell Tecnologia;24 meses;B6;21,70% a.a.;R$110.000;2;loan_127679;100.0%;127679
LC RACOES;24 meses;E2;61,59% a.a.;R$34.000;2;loan_127291;100.0%;127291
Master Imagem;24 meses;B5;20,70% a.a.;R$34.000;2;loan_127283;100.0%;127283
CASA DAS MASSAS;24 meses;B6;21,70% a.a.;R$66.000;2;loan_127256;100.0%;127256
PRISMA VEICULOS;24 meses;D1;35,28% a.a.;R$82.000;3;loan_127213;100.0%;127213
LOJAS MONALISA;24 meses;E1;59,73% a.a.;R$98.000;3;loan_127172;100.0%;127172
O.R.G.M.INFORMATICA;24 meses;D1;35,28% a.a.;R$110.000;3;loan_127154;100.0%;127154
J. F. DA SILVA SERVICOS DE CONTROLE DE ACESSO LTDA;12 meses;D1;35,28% a.a.;R$32.000;3;loan_126874;100.0%;126874
INOVALUMI VIDROS E ESQUADRIAS;24 meses;E1;59,73% a.a.;R$66.000;3;loan_126800;100.0%;126800
Vomad rodapés ;24 meses;B6;21,70% a.a.;R$110.000;3;loan_126761;100.0%;126761
Gráfica Vitória;24 meses;D2;37,99% a.a.;R$22.000;3;loan_126521;100.0%;126521
JACARE ALUMINIO;6 meses;C2;26,82% a.a.;R$32.000;3;loan_126389;100.0%;126389
LC SERVICE;12 meses;D1;35,28% a.a.;R$22.000;3;loan_126274;100.0%;126274
MERCADINHO E ACOUGUE SAO FRANCISCO;24 meses;D2;37,99% a.a.;R$28.000;3;loan_125836;100.0%;125836
SAGA SERVICOS;12 meses;B6;21,70% a.a.;R$212.000;4;loan_125806;100.0%;125806
AQUATECH SOLUCOES PARA AGUA E JARDIM;24 meses;E3;63,65% a.a.;R$34.000;4;loan_125668;100.0%;125668
REALITY CORRETORA DE SEGUROS;24 meses;C1;25,64% a.a.;R$56.000;4;loan_120073;100.0%;120073
PAULO FERNANDES - CONSTRUCOES E REFORMAS;24 meses;D3;41,91% a.a.;R$110.000;4;loan_125104;100.0%;125104
CLARICE PAISAGISMO E JARDINAGEM;24 meses;C1;25,64% a.a.;R$164.000;4;loan_122488;100.0%;122488
LOL SPORTS BAR;24 meses;C1;25,64% a.a.;R$44.000;4;loan_126643;100.0%;126643
PE DE BRINCADEIRA;12 meses;E2;61,59% a.a.;R$16.000;4;loan_126584;100.0%;126584
TAIS SANTOS CONCEPT;24 meses;D2;37,99% a.a.;R$82.000;4;loan_125756;100.0%;125756
VIVA CONSORCIOS CONTEMPLADOS;24 meses;D2;37,99% a.a.;R$34.000;4;loan_125452;100.0%;125452
MAIS SUCATA;12 meses;B6;21,70% a.a.;R$86.000;4;loan_125351;100.0%;125351
Riomar Trading;24 meses;C3;28,32% a.a.;R$164.000;5;loan_125187;100.0%;125187
Ecopack embalagens;6 meses;B6;21,70% a.a.;R$52.000;5;loan_124817;100.0%;124817
RANCHO COUNTRY;24 meses;D3;41,91% a.a.;R$22.000;5;loan_124370;100.0%;124370
Fasol Aquecedores;24 meses;C2;26,82% a.a.;R$88.000;5;loan_121403;100.0%;121403
KM MODAS;24 meses;D1;35,28% a.a.;R$78.000;5;loan_114316;100.0%;114316
55 EVENTOS;24 meses;D1;35,28% a.a.;R$28.000;5;loan_113373;100.0%;113373
Top Net Brasil;21 meses;D1;35,28% a.a.;R$54.000;5;loan_112010;100.0%;112010
BRASCOACHING;24 meses;C2;26,82% a.a.;R$50.000;5;loan_126158;100.0%;126158
YAMA PUBLICIDADE E EVENTOS;24 meses;B6;21,70% a.a.;R$28.000;5;loan_126047;100.0%;126047
SMC;24 meses;D1;35,28% a.a.;R$90.000;5;loan_126007;100.0%;126007
LinkMarcas Gestão Comercial;24 meses;C2;26,82% a.a.;R$44.000;6;loan_125924;100.0%;125924
SEGFORTE VIGILANCIA E SEGURANCA;24 meses;B5;20,70% a.a.;R$110.000;6;loan_125847;100.0%;125847
SPICY JEANS;24 meses;D3;41,91% a.a.;R$78.000;6;loan_125796;100.0%;125796
MB SERVICOS DE BELEZA;24 meses;E1;59,73% a.a.;R$36.000;6;loan_125494;100.0%;125494
VIEIRA & COUTO COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA;24 meses;B5;20,70% a.a.;R$328.000;6;loan_125493;100.0%;125493
VAREJAO CENTRAL BOM RETIRO EIRELI;24 meses;D3;41,91% a.a.;R$44.000;6;loan_125359;100.0%;125359
M2X ENGENHARIA;24 meses;C3;28,32% a.a.;R$110.000;6;loan_125282;100.0%;125282
CASA DO DECORADOR;24 meses;D1;35,28% a.a.;R$100.000;6;loan_125241;100.0%;125241
SUPORT TELECOM;18 meses;C2;26,82% a.a.;R$54.000;6;loan_125213;100.0%;125213
R5 SOLUCOES;24 meses;D1;35,28% a.a.;R$22.000;6;loan_125132;100.0%;125132
Munhoz Alves Sociedade Individual de Advocacia;24 meses;D2;37,99% a.a.;R$18.000;7;loan_125042;100.0%;125042
Instituto Apta;24 meses;D3;41,91% a.a.;R$16.000;7;loan_124924;100.0%;124924
MEZAS;24 meses;C2;26,82% a.a.;R$34.000;7;loan_124689;100.0%;124689
SPRAYLINE;12 meses;E1;59,73% a.a.;R$22.000;7;loan_123559;100.0%;123559
UPscale Eventos;24 meses;B6;21,70% a.a.;R$174.000;7;loan_123531;100.0%;123531
TOP FRANCE CENTRO AUTOMOTIVO;12 meses;D3;41,91% a.a.;R$16.000;7;loan_120844;100.0%;120844
ALGICAR VEICULOS;24 meses;D1;35,28% a.a.;R$66.000;7;loan_119218;100.0%;119218
Dasos Gestão Florestal;24 meses;B4;19,70% a.a.;R$328.000;7;loan_125509;100.0%;125509
FIGUS COSMETICOS;24 meses;B3;18,72% a.a.;R$272.000;7;loan_125481;100.0%;125481
OralMed ;12 meses;D3;41,91% a.a.;R$16.000;7;loan_125261;100.0%;125261
NAZCA MARKETING;24 meses;C3;28,32% a.a.;R$84.000;8;loan_125174;100.0%;125174
PAES E DOCES IRMAOS HENRIQUES LTDA;24 meses;D3;41,91% a.a.;R$34.000;8;loan_124906;100.0%;124906
Lotici;24 meses;B4;19,70% a.a.;R$327.000;8;loan_124535;100.0%;124535
WARSOFT BRASIL;24 meses;C1;25,64% a.a.;R$56.000;8;loan_124476;100.0%;124476
Delivery much;24 meses;C2;26,82% a.a.;R$34.000;8;loan_124383;100.0%;124383
DESEJO E AMOR;24 meses;B6;21,70% a.a.;R$44.000;8;loan_124305;100.0%;124305
GOLDEN E PET DAY CARE;24 meses;C1;25,64% a.a.;R$26.000;8;loan_124295;100.0%;124295
CONSTRUWILSON'S;24 meses;D3;41,91% a.a.;R$66.000;8;loan_124046;100.0%;124046
Hansl restaurante;24 meses;B6;21,70% a.a.;R$44.000;8;loan_124028;100.0%;124028
Empresarial Prime ;24 meses;C1;25,64% a.a.;R$56.000;8;loan_123693;100.0%;123693
RIBEIRAO DIESEL BOMBAS INJETORAS LTDA;24 meses;D3;41,91% a.a.;R$88.000;9;loan_123495;100.0%;123495
SUPER TROCA MEIER;24 meses;D1;35,28% a.a.;R$22.000;9;loan_124621;100.0%;124621
Invercenter;12 meses;C3;28,32% a.a.;R$26.000;9;loan_124318;100.0%;124318
TURBO RECAPAGENS;24 meses;B6;21,70% a.a.;R$66.000;9;loan_124179;100.0%;124179
SUPERGEEKS ASA NORTE;24 meses;B6;21,70% a.a.;R$82.000;9;loan_124176;100.0%;124176
FMJ CAFETERIA LTDA;24 meses;E3;63,65% a.a.;R$28.000;9;loan_124056;100.0%;124056
