Textbox15,Textbox4,Textbox10
02/01/2014 a 08/01/2014,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,00","     0,00"
2,BCO VOLKSWAGEN S.A,"   0,36","     4,39"
3,CAIXA ECONOMICA FEDERAL,"   1,19","    15,21"
4,BCO ALFA DE INVESTIMENTO S.A.,"   1,22","    15,73"
5,BCO ITAÚ BBA S.A.,"   1,24","    15,88"
6,KIRTON BANK,"   1,33","    17,15"
7,BCO ABC BRASIL S.A.,"   1,37","    17,71"
8,BCO VOTORANTIM S.A.,"   1,40","    18,15"
9,BCO GUANABARA S.A.,"   1,42","    18,49"
10,BCO DO NORDESTE DO BRASIL S.A.,"   1,53","    20,00"
11,BCO SAFRA S.A.,"   1,67","    21,96"
12,BCO FIBRA S.A.,"   1,71","    22,50"
13,BCO SANTANDER (BRASIL) S.A.,"   1,71","    22,61"
14,BCO DO ESTADO DO RS S.A.,"   1,74","    22,94"
15,BANCO FIDIS,"   1,77","    23,42"
16,BCO DAYCOVAL S.A,"   1,87","    24,89"
17,BCO DO BRASIL S.A.,"   1,87","    24,97"
18,BCO BRADESCO S.A.,"   2,03","    27,29"
19,BCO ARBI S.A.,"   2,05","    27,64"
20,ITAÚ UNIBANCO S.A.,"   2,14","    28,89"
21,BCO MERCANTIL DO BRASIL S.A.,"   2,24","    30,38"
22,BANCO TOPÁZIO S.A.,"   2,31","    31,51"
23,BANCO PAN,"   2,31","    31,58"
24,BCO DO EST. DE SE S.A.,"   2,58","    35,83"
25,GAZINCRED S.A. SCFI,"   2,64","    36,77"
26,BRB - BCO DE BRASILIA S.A.,"   2,95","    41,76"
27,BCO DA AMAZONIA S.A.,"   2,98","    42,18"
28,FINANSINOS S.A. CFI,"   2,98","    42,31"
29,BCO TRIANGULO S.A.,"   3,08","    43,84"
30,OMNI SA CFI,"   3,19","    45,69"
31,PARATI - CFI S.A.,"   3,54","    51,89"
32,PORTOSEG S.A. CFI,"   3,70","    54,64"
33,BCO DO EST. DO PA S.A.,"   3,73","    55,18"

