Textbox15,Textbox4,Textbox10
13/09/2019 a 19/09/2019,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO MODAL S.A.,"   0,00","     0,00"
2,HS FINANCEIRA,"   0,20","     2,43"
3,BCO OURINVEST S.A.,"   1,03","    13,08"
4,BCO RIBEIRAO PRETO S.A.,"   1,05","    13,34"
5,BCO SAFRA S.A.,"   1,08","    13,70"
6,BCO VOLVO BRASIL S.A.,"   1,64","    21,51"
7,BCO BS2 S.A.,"   1,64","    21,55"
8,BCO BARIGUI INV FIN S/A,"   1,80","    23,83"
9,TODESCREDI S/A - CFI,"   1,95","    26,02"
10,BCO TRICURY S.A.,"   2,00","    26,82"
11,BCO RENDIMENTO S.A.,"   2,00","    26,89"
12,BANCO PAN,"   2,11","    28,44"
13,BCO A.J. RENNER S.A.,"   2,52","    34,76"
14,CREDITÁ S.A. CFI,"   2,56","    35,49"
15,CAIXA ECONOMICA FEDERAL,"   2,68","    37,29"
16,BCO DA AMAZONIA S.A.,"   2,82","    39,55"
17,PORTOSEG S.A. CFI,"   2,87","    40,42"
18,BCO DO EST. DE SE S.A.,"   2,88","    40,65"
19,BANCO INBURSA,"   3,09","    44,09"
20,SINOSSERRA S/A - SCFI,"   3,48","    50,81"
21,BCO DO NORDESTE DO BRASIL S.A.,"   3,53","    51,55"
22,BRB - BCO DE BRASILIA S.A.,"   3,56","    52,13"
23,SANTANA S.A. - CFI,"   3,60","    52,86"
24,FINANC ALFA S.A. CFI,"   3,62","    53,19"
25,BCO DO BRASIL S.A.,"   3,70","    54,72"
26,NU FINANCEIRA S.A. CFI,"   3,91","    58,38"
27,ITAÚ UNIBANCO S.A.,"   4,19","    63,73"
28,BCO SANTANDER (BRASIL) S.A.,"   4,21","    64,11"
29,BCO BANESTES S.A.,"   4,45","    68,54"
30,OMNI BANCO S.A.,"   4,48","    69,16"
31,BCO DO ESTADO DO RS S.A.,"   4,81","    75,75"
32,BANCO ORIGINAL,"   4,96","    78,74"
33,BCO DO EST. DO PA S.A.,"   5,02","    79,99"
34,BCO BRADESCO S.A.,"   5,04","    80,48"
35,OMNI SA CFI,"   5,08","    81,23"
36,AMAGGI S.A. CFI,"   5,13","    82,34"
37,BV FINANCEIRA S.A. CFI,"   6,04","   102,16"
38,CENTROCRED S.A. CFI,"   6,05","   102,34"
39,FINAMAX S.A. CFI,"   6,24","   106,83"
40,BCO LOSANGO S.A.,"   6,62","   115,88"
41,KREDILIG S.A. - CFI,"   7,05","   126,37"
42,BECKER FINANCEIRA SA - CFI,"   7,29","   132,62"
43,BCO DAYCOVAL S.A,"   7,63","   141,77"
44,BANCO CBSS,"   7,86","   147,95"
45,GOLCRED S/A - CFI,"   8,07","   153,74"
46,BANCO TOPÁZIO S.A.,"   8,82","   175,77"
47,SOROCRED CFI S.A.,"   9,13","   185,44"
48,GAZINCRED S.A. SCFI,"   9,37","   193,08"
49,BCO MERCANTIL DO BRASIL S.A.,"   9,98","   213,25"
50,ESTRELA MINEIRA,"  10,82","   243,08"
51,SENFF S.A. - CFI,"  11,25","   259,34"
52,SAX S.A. CFI,"  11,61","   273,55"
53,CREDIARE CFI S.A.,"  11,90","   285,57"
54,BANCO SEMEAR,"  12,22","   299,06"
55,GRAZZIOTIN FINANCIADORA SA CFI,"  12,48","   310,01"
56,VIA CERTA FINANCIADORA S.A. - CFI,"  12,60","   315,35"
57,LEBES FINANCEIRA CFI SA,"  12,71","   320,31"
58,AGORACRED S/A SCFI,"  12,94","   330,90"
59,PORTOCRED S.A. - CFI,"  12,99","   332,81"
60,LECCA CFI S.A.,"  13,07","   336,61"
61,DACASA FINANCEIRA S/A - SCFI,"  13,70","   366,89"
62,NEGRESCO S.A. - CFI,"  13,79","   371,34"
63,REALIZE CFI S.A.,"  13,87","   375,34"
64,MIDWAY S.A. - SCFI,"  15,74","   477,81"
65,BCO AGIBANK S.A.,"  17,96","   625,90"
66,BCO BMG S.A.,"  18,63","   676,59"
67,FACTA S.A. CFI,"  19,91","   784,00"
68,CREFISA S.A. CFI,"  21,75","   960,51"
69,JBCRED S.A. SCFI,"  26,21"," 1.533,55"

