Textbox15,Textbox4,Textbox10
16/09/2019 a 20/09/2019,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,61","     7,60"
2,BCO BOCOM BBM S.A.,"   0,62","     7,70"
3,BANCOOB,"   0,64","     8,00"
4,BCO CITIBANK S.A.,"   0,70","     8,73"
5,BCO DO BRASIL S.A.,"   0,90","    11,33"
6,BANCO FIDIS,"   1,02","    12,91"
7,BCO SAFRA S.A.,"   1,04","    13,16"
8,BCO FIBRA S.A.,"   1,12","    14,36"
9,BCO DO NORDESTE DO BRASIL S.A.,"   1,19","    15,19"
10,BCO ABC BRASIL S.A.,"   1,23","    15,78"
11,BCO SOFISA S.A.,"   1,41","    18,24"
12,ITAÚ UNIBANCO S.A.,"   1,43","    18,50"
13,BCO DO ESTADO DO RS S.A.,"   1,63","    21,35"
14,BCO BS2 S.A.,"   1,64","    21,51"
15,BCO C6 S.A.,"   1,66","    21,80"
16,BRB - BCO DE BRASILIA S.A.,"   1,68","    22,14"
17,BCO DAYCOVAL S.A,"   1,87","    24,87"
18,BANCO INBURSA,"   1,90","    25,38"
19,BCO BRADESCO S.A.,"   1,91","    25,41"
20,OMNI BANCO S.A.,"   1,92","    25,61"
21,BCO ARBI S.A.,"   2,05","    27,64"
22,BANCO SEMEAR,"   2,12","    28,57"
23,GAZINCRED S.A. SCFI,"   2,12","    28,70"
24,BCO SANTANDER (BRASIL) S.A.,"   2,29","    31,17"
25,INTESA SANPAOLO BRASIL S.A. BM,"   2,43","    33,44"
26,GOLCRED S/A - CFI,"   2,43","    33,46"
27,BCO HONDA S.A.,"   2,51","    34,61"
28,CAIXA ECONOMICA FEDERAL,"   2,51","    34,71"
29,BCO DA AMAZONIA S.A.,"   2,95","    41,75"
30,PORTOSEG S.A. CFI,"   3,31","    47,75"
31,BCO TRIANGULO S.A.,"   4,38","    67,33"
32,BANCO TOPÁZIO S.A.,"   4,41","    67,93"
33,SENFF S.A. - CFI,"   4,58","    71,08"
34,BRK S.A. CFI,"   5,29","    85,56"

