Textbox15,Textbox4,Textbox10
02/01/2013 a 08/01/2013,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO ALFA DE INVESTIMENTO S.A.,"   0,80","    10,03"
2,BCO ITAÚ BBA S.A.,"   0,89","    11,16"
3,BCO CITIBANK S.A.,"   0,91","    11,46"
4,BCO VOLKSWAGEN S.A,"   1,00","    12,65"
5,BCO DO BRASIL S.A.,"   1,03","    13,02"
6,FINANC ALFA S.A. CFI,"   1,04","    13,22"
7,CAIXA ECONOMICA FEDERAL,"   1,04","    13,23"
8,BCO FIBRA S.A.,"   1,07","    13,61"
9,BCO VOTORANTIM S.A.,"   1,11","    14,21"
10,BCO ABC BRASIL S.A.,"   1,12","    14,25"
11,KIRTON BANK,"   1,13","    14,46"
12,BCO DO ESTADO DO RS S.A.,"   1,17","    14,97"
13,BCO DO NORDESTE DO BRASIL S.A.,"   1,34","    17,28"
14,BANCO FIDIS,"   1,36","    17,57"
15,BCO INDUSTRIAL DO BRASIL S.A.,"   1,54","    20,17"
16,BCO SANTANDER (BRASIL) S.A.,"   1,56","    20,40"
17,BCO SAFRA S.A.,"   1,57","    20,56"
18,ESTRELA MINEIRA,"   1,63","    21,48"
19,BCO BRADESCO S.A.,"   1,66","    21,77"
20,ITAÚ UNIBANCO S.A.,"   1,67","    21,96"
21,BCO BANESTES S.A.,"   1,68","    22,13"
22,BANCO VIPAL,"   1,71","    22,53"
23,BCO CCB BRASIL S.A.,"   1,72","    22,65"
24,VIA CERTA FINANCIADORA S.A. - CFI,"   1,75","    23,14"
25,BCO DAYCOVAL S.A,"   1,88","    25,02"
26,BCO MERCANTIL DO BRASIL S.A.,"   1,95","    26,06"
27,BCO TRIANGULO S.A.,"   2,01","    26,92"
28,BANCO TOPÁZIO S.A.,"   2,07","    27,87"
29,BRB - BCO DE BRASILIA S.A.,"   2,41","    33,00"
30,BCO DO EST. DE SE S.A.,"   2,53","    34,94"
31,BCO A.J. RENNER S.A.,"   2,55","    35,34"
32,GAZINCRED S.A. SCFI,"   2,66","    37,05"
33,BCO DA AMAZONIA S.A.,"   2,88","    40,61"
34,PARATI - CFI S.A.,"   3,16","    45,30"
35,HS FINANCEIRA,"   3,61","    53,07"
36,PORTOSEG S.A. CFI,"   3,68","    54,24"

